printNodeList----> No.of nodes: 195
+--------+------------+--------+-----------------+--------+--------+--------+--------+--------+--------+
|  Node  | Node_Type  |  Prev  |      Next       |  CC0   |  CC1   |  SC0   |  SC1   |   CO   |   SO   |
+--------+------------+--------+-----------------+--------+--------+--------+--------+--------+--------+
|  0 (1) |          0 |     -1 | 1 56            |      1 |      1 |      0 |      0 |     21 |    inf |
|  1 (4) |          0 |     -1 | 2 19 138          |      1 |      1 |      0 |      0 |     18 |    inf |
|  2 (8) |          0 |     -1 | 20 103            |      1 |      1 |      0 |      0 |     36 |    inf |
|  3 (11) |          0 |     -1 | 3 58            |      1 |      1 |      0 |      0 |     21 |    inf |
|  4 (14) |          0 |     -1 | 21 129            |      1 |      1 |      0 |      0 |     71 |    inf |
|  5 (17) |          0 |     -1 | 4 22 139          |      1 |      1 |      0 |      0 |     16 |    inf |
|  6 (21) |          0 |     -1 | 30 105            |      1 |      1 |      0 |      0 |     34 |    inf |
|  7 (24) |          0 |     -1 | 5 60            |      1 |      1 |      0 |      0 |     21 |    inf |
|  8 (27) |          0 |     -1 | 31 130            |      1 |      1 |      0 |      0 |     69 |    inf |
|  9 (30) |          0 |     -1 | 6 23 140          |      1 |      1 |      0 |      0 |     16 |    inf |
| 10 (34) |          0 |     -1 | 32 107            |      1 |      1 |      0 |      0 |     34 |    inf |
| 11 (37) |          0 |     -1 | 7 62            |      1 |      1 |      0 |      0 |     21 |    inf |
| 12 (40) |          0 |     -1 | 33 131            |      1 |      1 |      0 |      0 |     69 |    inf |
| 13 (43) |          0 |     -1 | 8 24 141          |      1 |      1 |      0 |      0 |     18 |    inf |
| 14 (47) |          0 |     -1 | 34 109            |      1 |      1 |      0 |      0 |     36 |    inf |
| 15 (50) |          0 |     -1 | 9 63            |      1 |      1 |      0 |      0 |     21 |    inf |
| 16 (53) |          0 |     -1 | 35 132            |      1 |      1 |      0 |      0 |     71 |    inf |
| 17 (56) |          0 |     -1 | 10 25 142          |      1 |      1 |      0 |      0 |     16 |    inf |
| 18 (60) |          0 |     -1 | 36 111            |      1 |      1 |      0 |      0 |     34 |    inf |
| 19 (63) |          0 |     -1 | 11 64            |      1 |      1 |      0 |      0 |     21 |    inf |
| 20 (66) |          0 |     -1 | 37 133            |      1 |      1 |      0 |      0 |     69 |    inf |
| 21 (69) |          0 |     -1 | 12 26 143          |      1 |      1 |      0 |      0 |     21 |    inf |
| 22 (73) |          0 |     -1 | 38 113            |      1 |      1 |      0 |      0 |     41 |    inf |
| 23 (76) |          0 |     -1 | 13 65            |      1 |      1 |      0 |      0 |     21 |    inf |
| 24 (79) |          0 |     -1 | 39 134            |      1 |      1 |      0 |      0 |     77 |    inf |
| 25 (82) |          0 |     -1 | 14 27 144          |      1 |      1 |      0 |      0 |     21 |    inf |
| 26 (86) |          0 |     -1 | 40 114            |      1 |      1 |      0 |      0 |     40 |    inf |
| 27 (89) |          0 |     -1 | 15 66            |      1 |      1 |      0 |      0 |     21 |    inf |
| 28 (92) |          0 |     -1 | 41 135            |      1 |      1 |      0 |      0 |     75 |    inf |
| 29 (95) |          0 |     -1 | 16 28 145          |      1 |      1 |      0 |      0 |     21 |    inf |
| 30 (99) |          0 |     -1 | 42 115            |      1 |      1 |      0 |      0 |     41 |    inf |
| 31 (102) |          0 |     -1 | 17 67            |      1 |      1 |      0 |      0 |     21 |    inf |
| 32 (105) |          0 |     -1 | 43 136            |      1 |      1 |      0 |      0 |     79 |    inf |
| 33 (108) |          0 |     -1 | 18 29 146          |      1 |      1 |      0 |      0 |     21 |    inf |
| 34 (112) |          0 |     -1 | 44 116            |      1 |      1 |      0 |      0 |     41 |    inf |
| 35 (115) |          0 |     -1 | 45 137            |      1 |      1 |      0 |      0 |     79 |    inf |
| 36 (118) |          2 |      1 | 19              |      2 |      2 |    inf |    inf |     20 |    inf |
| 37 (119) |          2 |      2 | 20 21            |      2 |      2 |    inf |    inf |     40 |    inf |
| 38 (122) |          2 |      3 | 22              |      2 |      2 |    inf |    inf |     20 |    inf |
| 39 (123) |          2 |      4 | 30 31            |      2 |      2 |    inf |    inf |     40 |    inf |
| 40 (126) |          2 |      5 | 23              |      2 |      2 |    inf |    inf |     20 |    inf |
| 41 (127) |          2 |      6 | 32 33            |      2 |      2 |    inf |    inf |     40 |    inf |
| 42 (130) |          2 |      7 | 24              |      2 |      2 |    inf |    inf |     20 |    inf |
| 43 (131) |          2 |      8 | 34 35            |      2 |      2 |    inf |    inf |     40 |    inf |
| 44 (134) |          2 |      9 | 25              |      2 |      2 |    inf |    inf |     20 |    inf |
| 45 (135) |          2 |     10 | 36 37            |      2 |      2 |    inf |    inf |     40 |    inf |
| 46 (138) |          2 |     11 | 26              |      2 |      2 |    inf |    inf |     20 |    inf |
| 47 (139) |          2 |     12 | 38 39            |      2 |      2 |    inf |    inf |     40 |    inf |
| 48 (142) |          2 |     13 | 27              |      2 |      2 |    inf |    inf |     20 |    inf |
| 49 (143) |          2 |     14 | 40 41            |      2 |      2 |    inf |    inf |     40 |    inf |
| 50 (146) |          2 |     15 | 28              |      2 |      2 |    inf |    inf |     20 |    inf |
| 51 (147) |          2 |     16 | 42 43            |      2 |      2 |    inf |    inf |     40 |    inf |
| 52 (150) |          2 |     17 | 29              |      2 |      2 |    inf |    inf |     20 |    inf |
