printNodeList----> No.of nodes: 16
+--------+------------+--------+-----------------+--------+--------+--------+--------+--------+--------+
|  Node  | Node_Type  |  Prev  |      Next       |  CC0   |  CC1   |  SC0   |  SC1   |   CO   |   SO   |
+--------+------------+--------+-----------------+--------+--------+--------+--------+--------+--------+
|  0 (1) |          0 |     -1 | 4              |      1 |      1 |      0 |      0 |    inf |    inf |
|  1 (2) |          0 |     -1 | 12              |      1 |      1 |      0 |      0 |    inf |    inf |
|  2 (3) |          0 |     -1 | 13              |      1 |      1 |      0 |      0 |    inf |    inf |
|  3 (4) |          0 |     -1 | 8              |      1 |      1 |      0 |      0 |    inf |    inf |
|  4 (17) |          1 |      5 | -1               |     17 |      8 |      2 |      0 |      0 |      0 |
|  5 (5) |          2 |      1 | 11              |      5 |     12 |      1 |      1 |    inf |    inf |
|  6 (6) |          2 |     10 | 1              |      3 |     10 |      0 |      0 |    inf |    inf |
|  7 (7) |          2 |      2 | 6              |      9 |     18 |      1 |      3 |    inf |    inf |
|  8 (8) |          2 |     11 | 2 5 10          |      7 |     16 |      0 |      2 |    inf |    inf |
|  9 (9) |          2 |      3 | 12              |      4 |      6 |      1 |      1 |    inf |    inf |
| 10 (10) |          2 |     13 | 3              |      2 |      4 |      0 |      0 |    inf |    inf |
| 11 (11) |          2 |      4 | 6 10            |      2 |      2 |      0 |      0 |    inf |    inf |
| 12 (12) |          2 |      6 | 7 8            |      3 |     21 |      0 |      3 |    inf |    inf |
| 13 (13) |          2 |      7 | 9              |      6 |      7 |      0 |      1 |    inf |    inf |
| 14 (14) |          2 |     12 | 7 13            |      2 |      6 |      0 |      1 |    inf |    inf |
| 15 (15) |          2 |      8 | 9              |      5 |      2 |      0 |      0 |    inf |    inf |
| 16 (16) |          2 |      9 | 11              |     10 |      6 |      1 |      0 |    inf |    inf |
+--------+------------+--------+-----------------+--------+--------+--------+--------+--------+--------+
