printNodeList----> No.of nodes: 16
+--------+------------+--------+-----------------+--------+--------+--------+--------+--------+--------+
|  Node  | Node_Type  |  Prev  |      Next       |  CC0   |  CC1   |  SC0   |  SC1   |   CO   |   SO   |
+--------+------------+--------+-----------------+--------+--------+--------+--------+--------+--------+
|  0 (1) |          0 |     -1 | 4              |      1 |      1 |      0 |      0 |     23 |      2 |
|  1 (2) |          0 |     -1 | 12              |      1 |      1 |      0 |      0 |     19 |      2 |
|  2 (3) |          0 |     -1 | 13              |      1 |      1 |      0 |      0 |     21 |      2 |
|  3 (4) |          0 |     -1 | 8              |      1 |      1 |      0 |      0 |     19 |      2 |
|  4 (17) |          1 |      5 | -1               |     17 |      8 |      2 |      0 |      0 |      0 |
|  5 (5) |          2 |      1 | 11              |      5 |     12 |      1 |      1 |     12 |      1 |
|  6 (6) |          2 |     10 | 1              |      3 |     10 |      0 |      0 |     14 |      2 |
|  7 (7) |          2 |      2 | 6              |      9 |     18 |      1 |      3 |     16 |      1 |
|  8 (8) |          2 |     11 | 2 5 10          |      7 |     16 |      0 |      2 |      1 |      0 |
|  9 (9) |          2 |      3 | 12              |      4 |      6 |      1 |      1 |     16 |      1 |
| 10 (10) |          2 |     13 | 3              |      2 |      4 |      0 |      0 |     18 |      2 |
| 11 (11) |          2 |      4 | 6 10            |      2 |      2 |      0 |      0 |     22 |      2 |
| 12 (12) |          2 |      6 | 7 8            |      3 |     21 |      0 |      3 |     13 |      1 |
| 13 (13) |          2 |      7 | 9              |      6 |      7 |      0 |      1 |     10 |      1 |
| 14 (14) |          2 |     12 | 7 13            |      2 |      6 |      0 |      1 |     14 |      1 |
| 15 (15) |          2 |      8 | 9              |      5 |      2 |      0 |      0 |     15 |      2 |
| 16 (16) |          2 |      9 | 11              |     10 |      6 |      1 |      0 |      7 |      1 |
+--------+------------+--------+-----------------+--------+--------+--------+--------+--------+--------+
